case_id,task_name,runs_per_mode,metric,unit,lower_is_better,A1,A2,A3,A2_minus_A1,A3_minus_A2,A3_minus_A1,notes
AGICE Demo Replay,rf_mwp_000137,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000138,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000138,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000139,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000139,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000140,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000140,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000141,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000141,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000142,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000142,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000143,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000143,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000144,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000144,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000145,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000145,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000146,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000146,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000147,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000147,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000148,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000148,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000149,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000149,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000150,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000150,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000151,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000151,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000152,1,solve_rate,ratio,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,
AGICE Demo Replay,rf_mwp_000152,1,expected_round_penalty_3,round,1,6.0000,6.0000,6.0000,0.0000,0.0000,0.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000153,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000153,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000154,1,solve_rate,ratio,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,
AGICE Demo Replay,rf_mwp_000154,1,expected_round_penalty_3,round,1,4.0000,6.0000,6.0000,2.0000,0.0000,2.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000155,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000155,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000156,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000156,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000157,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000157,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000158,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000158,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000159,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000159,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000160,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000160,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000161,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000161,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000162,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000162,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000163,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000163,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000164,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000164,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000165,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000165,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000166,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000166,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000167,1,solve_rate,ratio,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,
AGICE Demo Replay,rf_mwp_000167,1,expected_round_penalty_3,round,1,6.0000,6.0000,6.0000,0.0000,0.0000,0.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000168,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000168,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000169,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000169,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000170,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000170,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000171,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000171,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000172,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000172,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000173,1,solve_rate,ratio,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,
AGICE Demo Replay,rf_mwp_000173,1,expected_round_penalty_3,round,1,5.0000,6.0000,6.0000,1.0000,0.0000,1.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000174,1,solve_rate,ratio,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,
AGICE Demo Replay,rf_mwp_000174,1,expected_round_penalty_3,round,1,6.0000,6.0000,6.0000,0.0000,0.0000,0.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000175,1,solve_rate,ratio,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,
AGICE Demo Replay,rf_mwp_000175,1,expected_round_penalty_3,round,1,6.0000,6.0000,6.0000,0.0000,0.0000,0.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000176,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000176,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000177,1,solve_rate,ratio,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,
AGICE Demo Replay,rf_mwp_000177,1,expected_round_penalty_3,round,1,4.0000,6.0000,6.0000,2.0000,0.0000,2.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000178,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000178,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000179,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000179,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
